meter_id,timestamp,energy_kwh,voltage,current,power_factor,temperature,status,is_attack,attack_type
M001,2026-02-28 00:00:00,0.0575,226.11,1.169,0.87,29.1,normal,False,
M001,2026-02-28 00:15:00,0.0258,230.98,0.474,0.942,30.5,normal,False,
M001,2026-02-28 00:30:00,0.0221,227.97,0.444,0.874,27.4,normal,False,
M001,2026-02-28 00:45:00,0.0504,220.86,1.028,0.888,30.4,normal,False,
M001,2026-02-28 01:00:00,0.0812,228.5,1.583,0.898,27.0,normal,False,
M001,2026-02-28 01:15:00,0.0656,227.8,1.256,0.917,29.7,normal,False,
M001,2026-02-28 01:30:00,0.0792,230.43,1.577,0.872,27.5,normal,False,
M001,2026-02-28 01:45:00,0.0265,227.9,0.539,0.863,30.4,normal,False,
M001,2026-02-28 02:00:00,0.0884,226.42,1.709,0.914,28.2,normal,False,
M001,2026-02-28 02:15:00,0.0234,229.2,0.436,0.936,29.3,normal,False,
M001,2026-02-28 02:30:00,0.0512,239.72,0.977,0.874,30.9,normal,False,
M001,2026-02-28 02:45:00,0.117,230.77,2.091,0.97,30.3,normal,False,
M001,2026-02-28 03:00:00,0.0288,226.47,0.575,0.885,25.3,normal,False,
M001,2026-02-28 03:15:00,0.1029,225.29,1.984,0.921,26.7,normal,False,
M001,2026-02-28 03:30:00,0.0341,232.04,0.622,0.945,30.3,normal,False,
M001,2026-02-28 03:45:00,0.0971,229.27,1.958,0.865,27.3,normal,False,
M001,2026-02-28 04:00:00,0.1063,224.72,2.205,0.858,30.7,normal,False,
M001,2026-02-28 04:15:00,0.0511,234.13,0.936,0.933,26.7,normal,False,
M001,2026-02-28 04:30:00,0.1087,226.37,2.037,0.943,28.3,normal,False,
M001,2026-02-28 04:45:00,0.0961,235.23,1.788,0.914,29.2,normal,False,
M001,2026-02-28 05:00:00,0.0723,228.6,1.464,0.864,28.4,normal,False,
M001,2026-02-28 05:15:00,0.0231,225.03,0.448,0.916,30.6,normal,False,
M001,2026-02-28 05:30:00,0.1108,228.13,2.049,0.948,25.5,normal,False,
M001,2026-02-28 05:45:00,0.0429,229.26,0.859,0.871,27.6,normal,False,
