meter_id,timestamp,energy_kwh,reading_kwh,detected,risk_score,risk_level,rule_triggered,attack_type,ground_truth,detection_time
M001,2026-02-28 00:00:00,0.0575,0.0575,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 00:00:00,0.0575,0.0288,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 00:15:00,0.0258,0.0258,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 00:15:00,0.0258,0.0129,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 00:30:00,0.0221,0.0221,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 00:30:00,0.0221,0.0111,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 00:45:00,0.0504,0.0504,1,50,HIGH,baseline_drop+zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 00:45:00,0.0504,0.0252,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 01:00:00,0.0812,0.0812,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 01:00:00,0.0812,0.0406,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 01:15:00,0.0656,0.0328,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 01:15:00,0.0656,0.0656,0,0,NORMAL,none,none,0,2026-03-31 09:46:34
M001,2026-02-28 01:30:00,0.0792,0.0792,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 01:30:00,0.0792,0.0396,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 01:45:00,0.0265,0.0265,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 01:45:00,0.0265,0.0132,1,100,CRITICAL,energy_drop_gap+baseline_drop+zscore_outlier,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 02:00:00,0.0884,0.0884,0,20,LOW,zscore_outlier,none,0,2026-03-31 09:46:34
M001,2026-02-28 02:00:00,0.0884,0.0442,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 02:15:00,0.0234,0.0234,0,30,LOW,baseline_drop,none,0,2026-03-31 09:46:34
M001,2026-02-28 02:15:00,0.0234,0.0117,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
M001,2026-02-28 02:30:00,0.0512,0.0256,1,80,CRITICAL,energy_drop_gap+baseline_drop,reduce,1,2026-03-31 09:46:34
