meter_id,timestamp,energy_kwh,voltage,current,power_factor,temperature,status,is_attack,attack_type
M001,2026-02-28 00:00:00,0.079,226.11,1.606,0.87,29.1,normal,False,
M001,2026-02-28 00:15:00,0.0608,230.98,1.118,0.942,30.5,normal,False,
M001,2026-02-28 00:30:00,0.0587,227.97,1.178,0.874,27.4,normal,False,
M001,2026-02-28 00:45:00,0.075,220.86,1.53,0.888,30.4,normal,False,
M001,2026-02-28 01:00:00,0.0396,228.5,0.772,0.898,27.0,normal,False,
M001,2026-02-28 01:15:00,0.0325,227.8,0.622,0.917,29.7,normal,False,
M001,2026-02-28 01:30:00,0.0388,230.43,0.772,0.872,27.5,normal,False,
M001,2026-02-28 01:45:00,0.0145,227.9,0.295,0.863,30.4,normal,False,
M001,2026-02-28 02:00:00,0.043,226.42,0.831,0.914,28.2,normal,False,
M001,2026-02-28 02:15:00,0.0131,229.2,0.244,0.936,29.3,normal,False,
M001,2026-02-28 02:30:00,0.0258,239.72,0.493,0.874,30.9,normal,False,
M001,2026-02-28 02:45:00,0.0561,230.77,1.002,0.97,30.3,normal,False,
M001,2026-02-28 03:00:00,0.0156,226.47,0.311,0.885,25.3,normal,False,
M001,2026-02-28 03:15:00,0.0496,225.29,0.956,0.921,26.7,normal,False,
M001,2026-02-28 03:30:00,0.018,232.04,0.328,0.945,30.3,normal,False,
M001,2026-02-28 03:45:00,0.047,229.27,0.948,0.865,27.3,normal,False,
M001,2026-02-28 04:00:00,0.0512,224.72,1.062,0.858,30.7,normal,False,
M001,2026-02-28 04:15:00,0.0258,234.13,0.472,0.933,26.7,normal,False,
M001,2026-02-28 04:30:00,0.0523,226.37,0.98,0.943,28.3,normal,False,
M001,2026-02-28 04:45:00,0.0465,235.23,0.865,0.914,29.2,normal,False,
M001,2026-02-28 05:00:00,0.0355,228.6,0.719,0.864,28.4,normal,False,
M001,2026-02-28 05:15:00,0.0129,225.03,0.25,0.916,30.6,normal,False,
